"BuildingType","DataYear","Buildings","Percentile_25th_EUI","Median_EUI","Percentile_75th_EUI","Median_EUI_WN","Average_Site_EUI","Average_Site_EUI_WN","Median_Source_EUI","Median_ES_Score","Average_ES_Score","Total_GFA","Median_GFA","Median_Year_Built","Average_GHGSF","MedianGHGSF"
"Refrigerated Warehouse","2017","12","30.3","43.7","100.2","43.4","73.6","73","119.5","84","84.3","466,002","25,548.5","1955","1.1","0.5"
"Residence Hall/Dormitory","2017","16","36.2","66","76.7","65.7","61.1","60.5","109.4","71.5","68.1","948,368","29,440","1940","2.1","2.1"
"Restaurant","2017","10","59.9","157","248.4","150.5","172.7","170.2","286",,,"306,922","29,910","1921","6.2","5.3"
"Retail Store","2017","79","41","56","86.9","54.9","68.8","67.6","141","68","61.3","5,728,669","46,800","1965","1.5","1"
"Self-Storage Facility","2017","34","10.3","16.8","27","16","20.3","19.8","34.8","85","79","2,400,423","56,984","1961.5","0.5","0.2"
"Senior Living Community","2017","44","46.4","73.2","104.7","72.4","82.2","81.5","153","77","62.8","4,866,188","70,920","1990.5","2.6","2"
"Small- and Mid-Sized Office","2017","291","40.5","55","71.3","54.1","63.4","62.5","141.5","64","58.9","12,834,150","37,500","1965","1","0.6"
"Supermarket/Grocery Store","2017","33","182.3","243","303","242","243.6","242.7","576.8","60","57.5","1,564,572","44,739","1980","5.6","5.8"
"Worship Facility","2017","66","27.5","39","48.1","37.7","38.5","37.5","66","58","59.1","2,070,041","26,121.5","1951.5","1.6","1.4"
"College/University","2016","14","52.9","72.2","87.8","73","72","75.6","153.8",,,"18,952,827","79,595.5","1950.5","2","1.7"
"Distribution Center","2016","47","18.8","30.6","43.5","33.4","36.9","39.6","67.9","54","50.3","3,030,999","42,900","1965","0.7","0.6"
"High-Rise Multifamily","2016","105","39.3","46.6","57.6","49.8","49.8","52.8","108.7","53","51.5","19,011,443","146,203","1982","1.2","1"
"Hospital","2016","11","186.6","204.7","231.7","202.1","196.4","192.9","454.4","47","50.2","6,966,193","374,466","1990","6.5","6.4"
"Hotel","2016","71","60.9","81.2","96.1","82.9","83.3","85.3","174.1","62","59.6","10,547,396","88,100","1979","2.8","2.4"
"K-12 School","2016","127","31.6","38.1","46.9","42.3","41.4","45.8","81.5","83.5","78.6","9,986,612","56,072","1964","1.2","1.1"
"Laboratory","2016","9","210","236.5","349.1","241.5","296","301.9","559.5",,,"772,969","60,375","1963","9.5","6.9"
"Large Office","2016","151","44.5","53.3","69.8","55.5","65.3","66.8","162.8","88","80.2","48,062,032","212,210","1985","0.8","0.4"
"Low-Rise Multifamily","2016","972","25.2","29.8","37.8","31.5","34.7","37","84.6","73","68.3","38,547,899","29,435","1977","0.7","0.2"
